"RuleName","Techniques","SubTechniques","TacticIds","TacticNames","TechniqueNames","DeploymentStatus","TechniqueCount"
"CS -  TI map IP entity to Network Session Events (ASIM Network Session schema)","T1040, T1046, T1090, T1133, T1205, T1571, T1599","","TA0001, TA0003, TA0005, TA0006, TA0007, TA0011","Command and Control, Credential Access, Defense Evasion, Discovery, Initial Access, Persistence","External Remote Services, Network Boundary Bridging, Network Service Discovery, Network Sniffing, Non-Standard Port, Proxy, Traffic Signaling","Tuning","7"
"CS - A process has changed logon privileges","T1134","","TA0004","Privilege Escalation","Access Token Manipulation","Production","1"
"CS - Abnormal Email Threat Detected","T1566","","TA0001","Initial Access","Phishing","Tuning","1"
"CS - Abnormal mshta.exe Usage with Web-based Payload","T1105, T1203","T1071.001","TA0002, TA0011","Command and Control, Execution","Exploitation for Client Execution, Ingress Tool Transfer, Web Protocols","Production","3"
"CS - Abusing dMSA to escalate privileges in Active Directory","T1134","","TA0004","Privilege Escalation","Access Token Manipulation","Production","1"
"CS - Account created from non-approved sources","T1098","","TA0003","Persistence","Account Manipulation","Production","1"
"CS - Account Elevated to New Role","T1098","","TA0003","Persistence","Account Manipulation","Customer Monitored","1"
"CS - Alibaba ActionTrail Access Key Action Detected","T1552","","TA0006","Credential Access","Unsecured Credentials","Production","1"
"CS - Alibaba ActionTrail IAM CreateUser Observed","T1136","","TA0003","Persistence","Create Account","Production","1"
"CS - Alibaba ActionTrail Logging Configuration Change Observed","T1562","","TA0005","Defense Evasion","Impair Defenses","Production","1"
"CS - Alibaba ActionTrail Network Access Control List Deleted","T1562","","TA0005","Defense Evasion","Impair Defenses","Production","1"
"CS - Alibaba ActionTrail Secrets Manager Activity","T1552","","TA0006","Credential Access","Unsecured Credentials","Production","1"
"CS - Alibaba ActionTrail Unauthorized API Calls","T1552","","TA0006","Credential Access","Unsecured Credentials","Production","1"
"CS - Anomalous Single Factor Signin","T1552","","TA0006","Credential Access","Unsecured Credentials","Tuning","1"
"CS - Any PowerShell Download String","","T1059.001","TA0002","Execution","PowerShell","Production","1"
"CS - Apache Http server - Requests To Unexisting Files","T1595","","TA0043","Reconnaissance","Active Scanning","Production","1"
"CS - Apache Http Server - Suspicious File Upload to Web-Accessible Paths","T1190","","TA0001","Initial Access","Exploit Public-Facing Application","Production","1"
"CS - Apache Http server - Unusual POST Requests Triggering Error","T1190, T1595","","TA0001, TA0043","Initial Access, Reconnaissance","Active Scanning, Exploit Public-Facing Application","Production","2"
"CS - Apache Http server - Unusual Surge in 4xx Errors","T1595","","TA0043","Reconnaissance","Active Scanning","Tuning","1"
"CS - Apache HTTP Server - Web Application Error Spike - Potential DoS or Misuse via Apache","T1499","","TA0040","Impact","Endpoint Denial of Service","Production","1"
"CS - AppVLP.exe proxy execution","T1218","","TA0005","Defense Evasion","System Binary Proxy Execution","Production","1"
"CS - Attempt to Clear Windows Event Logs (wevtutil.exe)","","T1059.003","TA0002","Execution","Windows Command Shell","Production","1"
"CS - Attempt to Delete VMware ESXi Snapshots on Linux Server","T1490","","TA0040","Impact","Inhibit System Recovery","Production","1"
