"CapabilityId","CapabilityName","CapabilityGroup","CapabilityGroupName","TechniqueID","TechniqueName","Tactic","ScoreCategory","ScoreValue","Comments","References"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1059.009","Cloud API","Execution","protect","partial","Multiple conditions along can be combined to create fine-grained and specific policies that partially enforce access controls to account resources that adversaries may attempt to abuse: conditional access to Cloud APIs, blocking legacy authentication, requiring multi-factor authentication for users, block access by location, block access to unsupported devices, failed login attempts, account lockout policies, etc.. These features may require Microsoft Entra ID P2.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/howto-conditional-access-apis2 licensing; https://learn.microsoft.com/en-us/entra/identity/conditional-access/howto-conditional-access-apis"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1078","Valid Accounts","Defense Evasion, Persistence, Privilege Escalation, Initial Access","protect","partial","Multiple conditions along can be combined to create fine-grained and specific policies that partially enforce access controls to account resources that adversaries may attempt to abuse: conditional access to Cloud APIs, blocking legacy authentication, requiring multi-factor authentication for users, block access by location, block access to unsupported devices, failed login attempts, account lockout policies, etc.. These features may require Microsoft Entra ID P2.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation; https://learn.microsoft.com/en-us/entra/id-protection/concept-identity-protection-policies; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-conditions"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110","Brute Force","Credential Access","protect","partial","Multiple conditions along can be combined to create fine-grained and specific policies that partially enforce access controls to account resources that adversaries may attempt to abuse: conditional access to Cloud APIs, blocking legacy authentication, requiring multi-factor authentication for users, block access by location, block access to unsupported devices, failed login attempts, account lockout policies, etc.. These features may require Microsoft Entra ID P2.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-conditions; https://learn.microsoft.com/en-us/entra/id-protection/concept-identity-protection-policies; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110.001","Password Guessing","Credential Access","protect","partial","Multiple conditions along can be combined to create fine-grained and specific policies that partially enforce access controls to account resources that adversaries may attempt to abuse: conditional access to Cloud APIs, blocking legacy authentication, requiring multi-factor authentication for users, block access by location, block access to unsupported devices, failed login attempts, account lockout policies, etc.. These features may require Microsoft Entra ID P2.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation; https://learn.microsoft.com/en-us/entra/id-protection/concept-identity-protection-policies; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-conditions"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110.002","Password Cracking","Credential Access","protect","partial","Multiple conditions along can be combined to create fine-grained and specific policies that partially enforce access controls to account resources that adversaries may attempt to abuse: conditional access to Cloud APIs, blocking legacy authentication, requiring multi-factor authentication for users, block access by location, block access to unsupported devices, failed login attempts, account lockout policies, etc.. These features may require Microsoft Entra ID P2.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-conditions; https://learn.microsoft.com/en-us/entra/id-protection/concept-identity-protection-policies; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110.003","Password Spraying","Credential Access","protect","partial","Multiple conditions along can be combined to create fine-grained and specific policies that partially enforce access controls to account resources that adversaries may attempt to abuse: conditional access to Cloud APIs, blocking legacy authentication, requiring multi-factor authentication for users, block access by location, block access to unsupported devices, failed login attempts, account lockout policies, etc.. These features may require Microsoft Entra ID P2.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation; https://learn.microsoft.com/en-us/entra/id-protection/concept-identity-protection-policies; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-conditions"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110.004","Credential Stuffing","Credential Access","protect","partial","Multiple conditions along can be combined to create fine-grained and specific policies that partially enforce access controls to account resources that adversaries may attempt to abuse: conditional access to Cloud APIs, blocking legacy authentication, requiring multi-factor authentication for users, block access by location, block access to unsupported devices, failed login attempts, account lockout policies, etc.. These features may require Microsoft Entra ID P2.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-conditions; https://learn.microsoft.com/en-us/entra/id-protection/concept-identity-protection-policies; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1586.003","Cloud Accounts","Resource Development","protect","partial","Multiple conditions along can be combined to create fine-grained and specific policies that partially enforce access controls to account resources that adversaries may attempt to abuse: conditional access to Cloud APIs, blocking legacy authentication, requiring multi-factor authentication for users, block access by location, block access to unsupported devices, failed login attempts, account lockout policies, etc.. These features may require Microsoft Entra ID P2.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-conditions"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1621","Multi-Factor Authentication Request Generation","Credential Access","protect","partial","Multiple conditions along can be combined to create fine-grained and specific policies that partially enforce access controls to account resources that adversaries may attempt to abuse: conditional access to Cloud APIs, blocking legacy authentication, requiring multi-factor authentication for users, block access by location, block access to unsupported devices, failed login attempts, account lockout policies, etc.. These features may require Microsoft Entra ID P2.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-policy-common?tabs=secure-foundation; https://learn.microsoft.com/en-us/entra/id-protection/concept-identity-protection-policies; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-conditional-access-conditions"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1074","Data Staged","Collection","protect","minimal","This control only provides the ability to restrict file downloads for a limited set of applications and therefore its overall Coverage score is minimal.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
